"Date","Description","Comments","Check Number","Amount","Balance"
"09/29/2023","Visa Check  E 470 EXPRESS TOLLS 303-5373470 CO 09/29/23 Card 3805","","","($29.85)","$110.35"
"09/30/2023","Visa Check  MEM.AI MEM.AI CA 09/30/23 Card 3805","","","($10.00)","$100.35"
"09/30/2023","Visa Check  #5716 EVERYDAY STORE PARKER CO 09/29/23 Card 3805","","","($26.12)","$74.23"
"09/30/2023","Visa Check  SHELL OIL 57446054504 AURORA CO 09/29/23 Card 3805","","","($13.26)","$60.97"
"09/30/2023","Deposit Dividend Tiered Rate APY Earned  0.05% 09/01/23 to 09/30/23","","","$0.02","$60.99"
"10/02/2023","Visa Check  MCDONALD'S F7462 PARKER CO 10/01/23 Card 3805","","","($10.67)","$50.32"
"10/02/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/02/23 Card 3805","","","($11.05)","$39.27"
"10/03/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/03/23 Card 3805","","","($9.46)","$29.81"
"10/04/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/04/23 Card 3805","","","($10.97)","$18.84"
"10/05/2023","Visa Check  PYTHONANYWHERE RICHMOND GB 10/05/23 Card 3805","","","($7.00)","$11.84"
"10/05/2023","Withdrawal Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT Date 10/05/23 Card 3805","","","($0.06)","$11.78"
"10/06/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$897.09","$908.87"
"10/06/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/06/23 Card 3805","","","($6.77)","$902.10"
"10/07/2023","Visa Check  VAPEZ PARKER CO 10/06/23 Card 3805","","","($25.89)","$876.21"
"10/07/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/07/23 Card 3805","","","($7.96)","$868.25"
"10/08/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/08/23 Card 3805","","","($21.53)","$846.72"
"10/09/2023","Withdrawal ENT CREDIT UNION 18700 COTTONWOOD DRIVE PARKER CO Card 3805","","","($80.00)","$766.72"
"10/09/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/09/23 Card 3805","","","($9.78)","$756.94"
"10/09/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/09/23 Card 3805","","","($14.88)","$742.06"
"10/10/2023","Visa Check  EINSTEIN BROS BAGELS264 ENGLEWOOD CO 10/09/23 Card 3805","","","($13.17)","$728.89"
"10/10/2023","Visa Check  DD DOORDASH ARBYS 855-973-1040 CA 10/10/23 Card 3805","","","($21.72)","$707.17"
"10/10/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/10/23 Card 3805","","","($20.81)","$686.36"
"10/11/2023","Visa Check  #5716 EVERYDAY STORE PARKER CO 10/09/23 Card 3805","","","($60.00)","$626.36"
"10/11/2023","Visa Check  TWISTERS PAR 21 PARKER CO 10/10/23 Card 3805","","","($10.41)","$615.95"
"10/11/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/11/23 Card 3805","","","($17.33)","$598.62"
"10/11/2023","Visa Check  DD DOORDASH JERSEYMIK 855-973-1040 CA 10/11/23 Card 3805","","","($21.42)","$577.20"
"10/12/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/12/23 Card 3805","","","($12.46)","$564.74"
"10/12/2023","WAL WAL-MART SUPER 641484 2892 WAL-SAMS PARKER CO Card 3805","","","($11.90)","$552.84"
"10/12/2023","Visa Check  WALMART.COM 8009666546 800-966-6546 AR 10/12/23 Card 3805","","","($2.12)","$550.72"
"10/12/2023","Visa Check  CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 10/12/23 Card 3805","","","($20.00)","$530.72"
"10/12/2023","Visa Check  WALMART.COM 800-966-6546 AR 10/12/23 Card 3805","","","($49.31)","$481.41"
"10/14/2023","Visa Check  SQ *LAVA ISLAND Aurora CO 10/13/23 Card 3805","","","($27.00)","$454.41"
"10/14/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 10/14/23 Card 3805","","","($27.24)","$427.17"
"10/15/2023","Visa Check  DOORDASH DASHPASS WWW.DOORDASH. CA 10/15/23 Card 3805","","","($9.99)","$417.18"
"10/15/2023","Withdrawal ENT CREDIT UNION 18700 COTTONWOOD DRIVE PARKER CO Card 3805","","","($40.00)","$377.18"
"10/15/2023","Visa Check  DD DOORDASH COLONNASP 855-973-1040 CA 10/15/23 Card 3805","","","($46.60)","$330.58"
"10/16/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/15/23 Card 3805","","","($10.52)","$320.06"
"10/16/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/15/23 Card 3805","","","($6.30)","$313.76"
"10/16/2023","Visa Check  ACT*Parker Rec/Culture 303-8053273 CO 10/16/23 Card 3805","","","($46.00)","$267.76"
"10/16/2023","Visa Check  WL *Steam Purchase 425-9522985 WA 10/16/23 Card 3805","","","($15.43)","$252.33"
"10/16/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/16/23 Card 3805","","","($18.30)","$234.03"
"10/17/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/17/23 Card 3805","","","($41.95)","$192.08"
"10/17/2023","Visa Check  DD DOORDASH ARBYS 855-973-1040 CA 10/17/23 Card 3805","","","($39.47)","$152.61"
"10/18/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/18/23 Card 3805","","","($8.61)","$144.00"
"10/19/2023","Visa Check  GOOGLE *YouTube Music g.co/helppay# CA 10/19/23 Card 3805","","","($11.76)","$132.24"
"10/19/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/18/23 Card 3805","","","($10.44)","$121.80"
"10/19/2023","Visa Check  DD DOORDASH BURGERKIN 855-973-1040 CA 10/19/23 Card 3805","","","($6.33)","$115.47"
"10/19/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/19/23 Card 3805","","","($20.02)","$95.45"
"10/20/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$904.97","$1,000.42"
"10/20/2023","Withdrawal QT-CO 16791 MARKET ST PARKER CO Card 3805","","","($62.50)","$937.92"
"10/21/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/20/23 Card 3805","","","($9.60)","$928.32"
"10/21/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 10/21/23 Card 3805","","","($15.44)","$912.88"
"10/21/2023","Visa Check  7-ELEVEN 41543 PARKER CO 10/21/23 Card 3805","","","($18.07)","$894.81"
"10/21/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/21/23 Card 3805","","","($4.83)","$889.98"
"10/22/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/21/23 Card 3805","","","($8.69)","$881.29"
"10/22/2023","Visa Check  DD DOORDASH QDOBAMEXI 855-973-1040 CA 10/22/23 Card 3805","","","($19.84)","$861.45"
"10/22/2023","Visa Check  E 470 EXPRESS TOLLS 303-5373470 CO 10/22/23 Card 3805","","","($30.90)","$830.55"
"10/23/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/23/23 Card 3805","","","($40.77)","$789.78"
"10/23/2023","Visa Check  DD DOORDASH SUBWAY 855-973-1040 CA 10/23/23 Card 3805","","","($18.78)","$771.00"
"10/23/2023","Check #114 Withdrawal","","0000000114","($72.00)","$699.00"
"10/23/2023","Check #115 Withdrawal","","0000000115","($72.00)","$627.00"
"10/24/2023","Visa Check  BURGER KING #10685 PARKER CO 10/22/23 Card 3805","","","($12.41)","$614.59"
"10/24/2023","Visa Check  CHIPOTLE 0059 PARKER CO 10/23/23 Card 3805","","","($13.34)","$601.25"
"10/24/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/24/23 Card 3805","","","($4.19)","$597.06"
"10/24/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/24/23 Card 3805","","","($12.16)","$584.90"
"10/24/2023","Visa Check  DD DOORDASH CHICK-FIL 855-973-1040 CA 10/24/23 Card 3805","","","($29.01)","$555.89"
"10/25/2023","AMAZON CORP  : SYF PAYMNT   : 9069872103","","","($189.70)","$366.19"
"10/25/2023","Withdrawal ENT CREDIT UNION 8405 PARK MEADOWS DR 10 LONE TREE CO Card 3805","","","($40.00)","$326.19"
"10/25/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/25/23 Card 3805","","","($10.11)","$316.08"
"10/25/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/25/23 Card 3805","","","($7.21)","$308.87"
"10/25/2023","Visa Check  DD DOORDASH BURGERKIN 855-973-1040 CA 10/25/23 Card 3805","","","($29.14)","$279.73"
"10/26/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/26/23 Card 3805","","","($13.73)","$266.00"
"10/26/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/26/23 Card 3805","","","($40.01)","$225.99"
"10/26/2023","Visa Check  DD DOORDASH ARTISANPI 855-973-1040 CA 10/26/23 Card 3805","","","($18.57)","$207.42"
"10/26/2023","Visa Check  Waffle House PARKER CO 10/25/23 Card 3805","","","($24.11)","$183.31"
"10/27/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/26/23 Card 3805","","","($11.74)","$171.57"
"10/28/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/27/23 Card 3805","","","($7.59)","$163.98"
"10/28/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/27/23 Card 3805","","","($14.80)","$149.18"
"10/29/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 10/29/23 Card 3805","","","($36.66)","$112.52"
"10/29/2023","WAL WAL-MART SUPER 541181 2892 WAL-SAMS PARKER CO Card 3805","","","($4.82)","$107.70"
"10/29/2023","Amazon Prime*TS0C19XK3 Amzn.com/bill WA Card 3805","","","($16.19)","$91.51"
"10/30/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/30/23 Card 3805","","","($10.77)","$80.74"
"10/30/2023","Visa Check  FREAKYS PARKER PARKER CO 10/29/23 Card 3805","","","($10.80)","$69.94"
"10/31/2023","Visa Check  QT 4206 INSIDE PARKER CO 10/30/23 Card 3805","","","($8.25)","$61.69"
"10/31/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 10/31/23 Card 3805","","","($13.20)","$48.49"
"10/31/2023","Visa Check  DD DOORDASH CAPRIOTTI 855-973-1040 CA 10/31/23 Card 3805","","","($19.37)","$29.12"
"10/31/2023","Deposit Dividend Tiered Rate APY Earned  0.06% 10/01/23 to 10/31/23","","","$0.02","$29.14"
"11/01/2023","Visa Check  E 470 EXPRESS TOLLS 303-5373470 CO 10/31/23 Card 3805","","","($28.20)","$0.94"
"11/02/2023","Visa Check  #5716 EVERYDAY STORE PARKER CO 10/31/23 Card 3805","","","($15.00)","($14.06)"
"11/03/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$906.89","$892.83"
"11/04/2023","Visa Check  DD DOORDASH WHATTHEPH 855-973-1040 CA 11/04/23 Card 3805","","","($28.89)","$863.94"
"11/05/2023","Visa Check  FREAKYS PARKER PARKER CO 11/04/23 Card 3805","","","($32.40)","$831.54"
"11/05/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/05/23 Card 3805","","","($32.68)","$798.86"
"11/05/2023","Visa Check  PYTHONANYWHERE RICHMOND GB 11/05/23 Card 3805","","","($7.00)","$791.86"
"11/05/2023","Withdrawal Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT Date 11/05/23 Card 3805","","","($0.06)","$791.80"
"11/06/2023","Visa Check  DD DOORDASH PANERABRE 855-973-1040 CA 11/06/23 Card 3805","","","($24.39)","$767.41"
"11/06/2023","Visa Check  DD DOORDASH GOODTIMES 855-973-1040 CA 11/06/23 Card 3805","","","($54.54)","$712.87"
"11/06/2023","Withdrawal PAI ISO 17050 E MAINSTREET PARKER CO Card 3805","","","($63.00)","$649.87"
"11/07/2023","Visa Check  DD DOORDASH PANERABRE 855-973-1040 CA 11/07/23 Card 3805","","","($26.49)","$623.38"
"11/07/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/07/23 Card 3805","","","($45.00)","$578.38"
"11/08/2023","Visa Check  OPENAI HTTPSOPENAI.C CA 11/08/23 Card 3805","","","($0.53)","$577.85"
"11/08/2023","Visa Check  DD DOORDASH LILRICCIS 855-973-1040 CA 11/08/23 Card 3805","","","($29.78)","$548.07"
"11/08/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/08/23 Card 3805","","","($9.69)","$538.38"
"11/08/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/08/23 Card 3805","","","($11.17)","$527.21"
"11/09/2023","Visa Check  QT 4206 INSIDE PARKER CO 11/08/23 Card 3805","","","($10.46)","$516.75"
"11/09/2023","Visa Check  DD DOORDASH BURGERKIN 855-973-1040 CA 11/09/23 Card 3805","","","($27.20)","$489.55"
"11/09/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/09/23 Card 3805","","","($30.55)","$459.00"
"11/09/2023","Visa Check  Waffle House PARKER CO 11/09/23 Card 3805","","","($22.78)","$436.22"
"11/10/2023","Visa Check  QT 4206 INSIDE PARKER CO 11/09/23 Card 3805","","","($11.00)","$425.22"
"11/10/2023","Visa Check  Kindle Svcs*647C614Q3 888-802-3080 WA 11/10/23 Card 3805","","","($16.19)","$409.03"
"11/11/2023","Visa Check  QT 4206 INSIDE PARKER CO 11/10/23 Card 3805","","","($11.25)","$397.78"
"11/11/2023","Visa Check  LOAF N JUG #0007 PARKER CO 11/10/23 Card 3805","","","($7.11)","$390.67"
"11/11/2023","Visa Check  IN N OUT BURGER 360 AURORA CO 11/11/23 Card 3805","","","($14.04)","$376.63"
"11/11/2023","GOOGLE *ROBLOX 855-836-3987 CA Card 3805","","","($12.49)","$364.14"
"11/11/2023","Visa Check  FUNIMATION PRODUCTIONS HTTPSWWW.FUNI TX 11/11/23 Card 3805","","","($10.86)","$353.28"
"11/12/2023","Visa Check  STEAMGAMES.COM 42595229 425-8899642 WA 11/12/23 Card 3805","","","($1.02)","$352.26"
"11/12/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 11/12/23 Card 3805","","","($10.10)","$342.16"
"11/12/2023","Visa Check  7-ELEVEN 41543 PARKER CO 11/11/23 Card 3805","","","($11.09)","$331.07"
"11/12/2023","Visa Check  CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 11/12/23 Card 3805","","","($20.00)","$311.07"
"11/12/2023","Withdrawal PAI ISO 17050 E MAINSTREET PARKER CO Card 3805","","","($43.00)","$268.07"
"11/13/2023","Visa Check  DD DOORDASH TACOBELL 855-973-1040 CA 11/13/23 Card 3805","","","($32.67)","$235.40"
"11/13/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/13/23 Card 3805","","","($3.98)","$231.42"
"11/13/2023","WAL-MART #2892 11101 SO. PARKER ROAD PARKER CO Card 3805","","","($9.52)","$221.90"
"11/14/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/14/23 Card 3805","","","($23.20)","$198.70"
"11/14/2023","866-790-4111 1150 N. ALMA SCHOOL ROA MESA AZ Card 3805","","","($75.00)","$123.70"
"11/14/2023","Visa Check  DD DOORDASH PARRYSPIZ 855-973-1040 CA 11/14/23 Card 3805","","","($29.57)","$94.13"
"11/14/2023","Visa Check  ZEL*Pamela Spengler Visa Direct AZ 11/14/23 Card 3805","","","($25.00)","$69.13"
"11/14/2023","Visa Check  DOORDASH DASHPASS WWW.DOORDASH. CA 11/15/23 Card 3805","","","($9.99)","$59.14"
"11/15/2023","Visa Check  DD DOORDASH CASAMATA 855-973-1040 CA 11/15/23 Card 3805","","","($23.63)","$35.51"
"11/15/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/15/23 Card 3805","","","($15.47)","$20.04"
"11/16/2023","OPC*GRNWDVLG RL NOTICE 866-790-4111 AZ Card 3805","","","($4.00)","$16.04"
"11/17/2023","Visa Check  #5716 EVERYDAY STORE PARKER CO 11/16/23 Card 3805","","","($15.04)","$1.00"
"11/17/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$823.73","$824.73"
"11/18/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 11/18/23 Card 3805","","","($23.74)","$800.99"
"11/18/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/18/23 Card 3805","","","($29.92)","$771.07"
"11/18/2023","WENDYS #8257 16931 LINCOLN AVE PARKER CO 5814 Card 3805","","","($14.03)","$757.04"
"11/18/2023","Visa Check  E 470 EXPRESS TOLLS 303-5373470 CO 11/18/23 Card 3805","","","($26.55)","$730.49"
"11/19/2023","Visa Check  GOOGLE *YouTube Music g.co/helppay# CA 11/19/23 Card 3805","","","($11.76)","$718.73"
"11/19/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/19/23 Card 3805","","","($12.93)","$705.80"
"11/19/2023","Visa Check  DD DOORDASH DELTACO 855-973-1040 CA 11/19/23 Card 3805","","","($15.11)","$690.69"
"11/21/2023","Visa Check  MCDONALD'S F7462 PARKER CO 11/20/23 Card 3805","","","($9.05)","$681.64"
"11/21/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/21/23 Card 3805","","","($13.67)","$667.97"
"11/21/2023","WM SUPERCENTER #2892 Wal-Mart Super Center PARKER CO Card 3805","","","($31.66)","$636.31"
"11/21/2023","Visa Check  ZEL*KORY BROWN Visa Direct AZ 11/22/23 Card 3805","","","($20.00)","$616.31"
"11/21/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($29.62)","$586.69"
"11/22/2023","Visa Check  #5716 EVERYDAY STORE PARKER CO 11/21/23 Card 3805","","","($44.96)","$541.73"
"11/22/2023","Visa Check  DD DOORDASH WENDYS 855-973-1040 CA 11/22/23 Card 3805","","","($23.01)","$518.72"
"11/25/2023","Visa Check  DD *DOORDASH MCDONALDS WWW.DOORDASH. CA 11/25/23 Card 3805","","","($36.56)","$482.16"
"11/26/2023","Visa Check  API VENDMASSAGECHAIR AURORA CO 11/25/23 Card 3805","","","($7.00)","$475.16"
"11/26/2023","Visa Check  URBAN AIR AURORA CO 11/25/23 Card 3805","","","($7.02)","$468.14"
"11/27/2023","Visa Check  DD DOORDASH PANERABRE 855-973-1040 CA 11/27/23 Card 3805","","","($26.37)","$441.77"
"11/27/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($4.63)","$437.14"
"11/28/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/27/23 Card 3805","","","($10.97)","$426.17"
"11/29/2023","Visa Check  BERRY BLENDZ PARKER CO 11/28/23 Card 3805","","","($7.51)","$418.66"
"11/29/2023","AMAZON Store  : SYF PAYMNT   : 9069872103","","","($231.90)","$186.76"
"11/29/2023","Visa Check  AMZN Mktp US*LY2RP6Z13 Amzn.com/bill WA 11/29/23 Card 3805","","","($26.73)","$160.03"
"11/29/2023","Visa Check  AMZN Mktp US*NM4C91GG3 Amzn.com/bill WA 11/29/23 Card 3805","","","($14.85)","$145.18"
"11/29/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 11/29/23 Card 3805","","","($36.76)","$108.42"
"11/29/2023","Amazon Prime*D34KO2253 Amzn.com/bill WA Card 3805","","","($16.19)","$92.23"
"11/30/2023","Visa Check  WALMART.COM 8009666546 800-966-6546 AR 11/30/23 Card 3805","","","($16.15)","$76.08"
"11/30/2023","Visa Check  WALMART.COM 8009666546 800-966-6546 AR 11/30/23 Card 3805","","","($8.50)","$67.58"
"11/30/2023","Deposit Dividend Tiered Rate APY Earned  0.06% 11/01/23 to 11/30/23","","","$0.02","$67.60"
"12/01/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$761.45","$829.05"
"12/01/2023","Visa Check  WALMART.COM 800-966-6546 AR 12/01/23 Card 3805","","","($3.84)","$825.21"
"12/01/2023","Visa Check  QT 4206 INSIDE PARKER CO 11/30/23 Card 3805","","","($13.75)","$811.46"
"12/02/2023","Visa Check  QT 4206 INSIDE PARKER CO 12/01/23 Card 3805","","","($8.21)","$803.25"
"12/02/2023","Visa Check  MCDONALD'S F7462 PARKER CO 12/01/23 Card 3805","","","($14.02)","$789.23"
"12/03/2023","Visa Check  DD DOORDASH QDOBAMEXI 855-973-1040 CA 12/03/23 Card 3805","","","($19.27)","$769.96"
"12/03/2023","Visa Check  DD DOORDASH WENDYS 855-973-1040 CA 12/03/23 Card 3805","","","($22.57)","$747.39"
"12/03/2023","Visa Check  Kindle Svcs*3Z3DN1BF3 888-802-3080 WA 12/03/23 Card 3805","","","($7.01)","$740.38"
"12/03/2023","7-ELEVEN 9301 S PARKER ROAD US PARKER CO 5541 Card 3805","","","($6.42)","$733.96"
"12/04/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/02/23 Card 3805","","","($16.79)","$717.17"
"12/04/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/02/23 Card 3805","","","($16.79)","$700.38"
"12/04/2023","Visa Check  TACO BELL 002643 PARKER CO 12/03/23 Card 3805","","","($10.23)","$690.15"
"12/04/2023","Visa Check  Waffle House PARKER CO 12/04/23 Card 3805","","","($20.36)","$669.79"
"12/05/2023","WAL WAL-MART SUPER 810853 2892 WAL-SAMS PARKER CO Card 3805","","","($8.49)","$661.30"
"12/05/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/04/23 Card 3805","","","($6.65)","$654.65"
"12/05/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/04/23 Card 3805","","","($13.02)","$641.63"
"12/05/2023","Visa Check  DD DOORDASH ARBYS 855-973-1040 CA 12/05/23 Card 3805","","","($19.92)","$621.71"
"12/05/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($4.63)","$617.08"
"12/06/2023","Visa Check  AMZN Mktp US*KQ6CI97K3 Amzn.com/bill WA 12/06/23 Card 3805","","","($24.00)","$593.08"
"12/06/2023","Visa Check  DD DOORDASH PARRYSPIZ 855-973-1040 CA 12/06/23 Card 3805","","","($30.71)","$562.37"
"12/06/2023","Visa Check  GOOD TIMES DR THRU 148 PARKER CO 12/05/23 Card 3805","","","($10.23)","$552.14"
"12/06/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/06/23 Card 3805","","","($16.26)","$535.88"
"12/07/2023","Visa Check  Amazon.com*6L57F5B53 Amzn.com/bill WA 12/06/23 Card 3805","","","($37.95)","$497.93"
"12/07/2023","Visa Check  AMZN Mktp US*SZ2II6IZ3 Amzn.com/bill WA 12/06/23 Card 3805","","","($34.29)","$463.64"
"12/07/2023","Visa Check  7-ELEVEN 32923 PARKER CO 12/06/23 Card 3805","","","($6.48)","$457.16"
"12/07/2023","Visa Check  OPENAI HTTPSOPENAI.C CA 12/07/23 Card 3805","","","($0.89)","$456.27"
"12/07/2023","Visa Check  DD DOORDASH CASAMATAM 855-973-1040 CA 12/07/23 Card 3805","","","($18.45)","$437.82"
"12/07/2023","KING SOOPERS #0088 17031 LINCOLN AVE PARKER CO Card 3805","","","($12.29)","$425.53"
"12/08/2023","PHILLIPS 66 - T SQUARE PARKER CO 12/02/23 Card 3805","","","$16.79","$442.32"
"12/08/2023","Check #116 Withdrawal","","0000000116","($144.00)","$298.32"
"12/09/2023","Visa Check  QT 4206 INSIDE PARKER CO 12/08/23 Card 3805","","","($29.62)","$268.70"
"12/09/2023","Visa Check  DD DOORDASH MCDONALDS 855-973-1040 CA 12/09/23 Card 3805","","","($28.77)","$239.93"
"12/09/2023","Visa Check  7-ELEVEN 39421 PARKER CO 12/08/23 Card 3805","","","($9.62)","$230.31"
"12/09/2023","Visa Check  E 470 EXPRESS TOLLS 303-5373470 CO 12/09/23 Card 3805","","","($25.70)","$204.61"
"12/10/2023","Visa Check  DD DOORDASH TACOBELL 855-973-1040 CA 12/10/23 Card 3805","","","($25.73)","$178.88"
"12/10/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/10/23 Card 3805","","","($9.04)","$169.84"
"12/10/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($14.00)","$155.84"
"12/11/2023","Visa Check  DD DOORDASH LILRICCIS 855-973-1040 CA 12/11/23 Card 3805","","","($29.65)","$126.19"
"12/11/2023","Visa Check  FUNIMATION PRODUCTIONS HTTPSWWW.FUNI TX 12/11/23 Card 3805","","","($10.86)","$115.33"
"12/12/2023","Visa Check  AMZN Mktp US*DN1OB4RN3 Amzn.com/bill WA 12/12/23 Card 3805","","","($62.07)","$53.26"
"12/12/2023","Visa Check  WL *Steam Purchase 425-9522985 WA 12/12/23 Card 3805","","","($5.14)","$48.12"
"12/12/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/12/23 Card 3805","","","($19.83)","$28.29"
"12/13/2023","Visa Check  McDonalds 7462 130-3841821 CO 12/12/23 Card 3805","","","($11.74)","$16.55"
"12/13/2023","Visa Check  TACO BELL KFC 21392 PARKER CO 12/12/23 Card 3805","","","($6.12)","$10.43"
"12/14/2023","7-ELEVEN 9301 S PARKER ROAD US PARKER CO 5541 Card 3805","","","($0.44)","$9.99"
"12/14/2023","Visa Check  DOORDASH DASHPASS WWW.DOORDASH. CA 12/15/23 Card 3805","","","($9.99)","$0.00"
"12/15/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$739.57","$739.57"
"12/15/2023","Visa Check  CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 12/15/23 Card 3805","","","($20.00)","$719.57"
"12/15/2023","GOOGLE *EA Mobile 855-836-3987 CA Card 3805","","","($29.99)","$689.58"
"12/15/2023","Visa Check  AMZN Mktp US*PZ0YE7CJ3 Amzn.com/bill WA 12/15/23 Card 3805","","","($25.92)","$663.66"
"12/16/2023","Visa Check  MCDONALD'S F37856 AURORA CO 12/15/23 Card 3805","","","($14.21)","$649.45"
"12/16/2023","Visa Check  DD DOORDASH TASTEOFPH 855-973-1040 CA 12/16/23 Card 3805","","","($21.42)","$628.03"
"12/16/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/16/23 Card 3805","","","($9.14)","$618.89"
"12/17/2023","Visa Check  #5716 EVERYDAY STORE PARKER CO 12/15/23 Card 3805","","","($50.21)","$568.68"
"12/17/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/17/23 Card 3805","","","($7.31)","$561.37"
"12/17/2023","Visa Check  DD DOORDASH PARRYSPIZ 855-973-1040 CA 12/17/23 Card 3805","","","($30.66)","$530.71"
"12/17/2023","Visa Check  GITHUB, INC. HTTPSGITHUB.C CA 12/17/23 Card 3805","","","($9.68)","$521.03"
"12/18/2023","Visa Check  DD DOORDASH TACOBELL 855-973-1040 CA 12/18/23 Card 3805","","","($26.51)","$494.52"
"12/18/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 12/18/23 Card 3805","","","($6.03)","$488.49"
"12/19/2023","Visa Check  GOOGLE *YouTube Music g.co/helppay# CA 12/19/23 Card 3805","","","($11.76)","$476.73"
"12/19/2023","Visa Check  AMZN Mktp US*788QM41F3 Amzn.com/bill WA 12/19/23 Card 3805","","","($33.74)","$442.99"
"12/19/2023","Visa Check  DD DOORDASH SUBWAY 855-973-1040 CA 12/19/23 Card 3805","","","($20.63)","$422.36"
"12/19/2023","WAL-MART #2892 11101 SO. PARKER ROAD PARKER CO Card 3805","","","($48.84)","$373.52"
